"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 25 20:37:00 GMT 2024","Mon Nov 25 20:37:16 GMT 2024","16108","Surefire suite","Surefire test","com.example.teamc.ui.CreateBuildTypeTest","com.example.teamc.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create build type",""
"passed","Mon Nov 25 20:36:03 GMT 2024","Mon Nov 25 20:36:59 GMT 2024","56679","Surefire suite","Surefire test","com.example.teamc.ui.CreateProjectTest","com.example.teamc.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Mon Nov 25 20:34:57 GMT 2024","Mon Nov 25 20:35:49 GMT 2024","51931","Surefire suite","Surefire test","com.example.teamc.ui.SetupServerTest","com.example.teamc.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Mon Nov 25 20:37:16 GMT 2024","Mon Nov 25 20:37:26 GMT 2024","9506","Surefire suite","Surefire test","com.example.teamc.ui.CreateBuildTypeTest","com.example.teamc.ui.CreateBuildTypeTest","userFailsToCreateBuildTypeWithoutBuildTypeName","User should not be able to create build configuration without build type name",""
"passed","Mon Nov 25 20:37:00 GMT 2024","Mon Nov 25 20:37:00 GMT 2024","1","Surefire suite","Surefire test","com.example.teamc.ui.CreateProjectTest","com.example.teamc.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
