"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 25 20:02:06 GMT 2024","Mon Nov 25 20:02:06 GMT 2024","274","Surefire suite","Surefire test","com.example.teamc.api.ProjectTest","com.example.teamc.api.ProjectTest","userCreatesProjectTest","User should be able to create a project",""
"passed","Mon Nov 25 20:02:07 GMT 2024","Mon Nov 25 20:02:07 GMT 2024","196","Surefire suite","Surefire test","com.example.teamc.api.ProjectTest","com.example.teamc.api.ProjectTest","userCreatesProjectWithTooLongIdTest","User should not be able to create a project with too long ID",""
"passed","Mon Nov 25 20:02:06 GMT 2024","Mon Nov 25 20:02:07 GMT 2024","164","Surefire suite","Surefire test","com.example.teamc.api.ProjectTest","com.example.teamc.api.ProjectTest","userCreatesProjectWithEmptyIdTest","User should not be able to create a project with empty ID",""
"passed","Mon Nov 25 20:02:07 GMT 2024","Mon Nov 25 20:02:07 GMT 2024","238","Surefire suite","Surefire test","com.example.teamc.api.ProjectTest","com.example.teamc.api.ProjectTest","userCreatesProjectWithInvalidIdTest","User should not be able to create a project with invalid ID",""
"passed","Mon Nov 25 20:02:08 GMT 2024","Mon Nov 25 20:02:08 GMT 2024","267","Surefire suite","Surefire test","com.example.teamc.api.ProjectTest","com.example.teamc.api.ProjectTest","userCreatesTwoProjectsWithSameNameTest","User should not be able to create a project with the same name",""
"passed","Mon Nov 25 20:02:05 GMT 2024","Mon Nov 25 20:02:05 GMT 2024","465","Surefire suite","Surefire test","com.example.teamc.api.BuildTypeTest","com.example.teamc.api.BuildTypeTest","userCreatesTwoBuildTypesWithSameIdTest","User should not be able to create two build types with the same id",""
"passed","Mon Nov 25 20:02:07 GMT 2024","Mon Nov 25 20:02:07 GMT 2024","277","Surefire suite","Surefire test","com.example.teamc.api.ProjectTest","com.example.teamc.api.ProjectTest","userCreatesTwoProjectsWithSameIdTest","User should not be able to create a project with the same ID",""
"passed","Mon Nov 25 20:02:02 GMT 2024","Mon Nov 25 20:02:02 GMT 2024","2","Surefire suite","Surefire test","com.example.teamc.api.BuildTypeTest","com.example.teamc.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able create build type for their project",""
"passed","Mon Nov 25 20:02:06 GMT 2024","Mon Nov 25 20:02:06 GMT 2024","255","Surefire suite","Surefire test","com.example.teamc.api.ProjectTest","com.example.teamc.api.ProjectTest","userCreatesProjectWithEmptyFieldsTest","User should not be able to create a project with empty fields",""
"passed","Mon Nov 25 20:02:02 GMT 2024","Mon Nov 25 20:02:05 GMT 2024","2411","Surefire suite","Surefire test","com.example.teamc.api.BuildTypeTest","com.example.teamc.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Mon Nov 25 20:00:51 GMT 2024","Mon Nov 25 20:01:45 GMT 2024","53152","Surefire suite","Surefire test","com.example.teamc.ui.SetupServerTest","com.example.teamc.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Mon Nov 25 20:02:02 GMT 2024","Mon Nov 25 20:02:02 GMT 2024","13","Surefire suite","Surefire test","com.example.teamc.api.BuildTypeTest","com.example.teamc.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able create build type for not their project",""
