"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 25 20:36:11 GMT 2024","Mon Nov 25 20:36:11 GMT 2024","293","Surefire suite","Surefire test","com.example.teamc.api.ProjectTest","com.example.teamc.api.ProjectTest","userCreatesProjectWithInvalidIdTest","User should not be able to create a project with invalid ID",""
"passed","Mon Nov 25 20:36:06 GMT 2024","Mon Nov 25 20:36:06 GMT 2024","2","Surefire suite","Surefire test","com.example.teamc.api.BuildTypeTest","com.example.teamc.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able create build type for their project",""
"passed","Mon Nov 25 20:36:10 GMT 2024","Mon Nov 25 20:36:11 GMT 2024","200","Surefire suite","Surefire test","com.example.teamc.api.ProjectTest","com.example.teamc.api.ProjectTest","userCreatesProjectWithEmptyIdTest","User should not be able to create a project with empty ID",""
"passed","Mon Nov 25 20:36:06 GMT 2024","Mon Nov 25 20:36:06 GMT 2024","6","Surefire suite","Surefire test","com.example.teamc.api.BuildTypeTest","com.example.teamc.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able create build type for not their project",""
"passed","Mon Nov 25 20:36:10 GMT 2024","Mon Nov 25 20:36:10 GMT 2024","217","Surefire suite","Surefire test","com.example.teamc.api.ProjectTest","com.example.teamc.api.ProjectTest","userCreatesProjectWithEmptyFieldsTest","User should not be able to create a project with empty fields",""
"passed","Mon Nov 25 20:36:11 GMT 2024","Mon Nov 25 20:36:11 GMT 2024","198","Surefire suite","Surefire test","com.example.teamc.api.ProjectTest","com.example.teamc.api.ProjectTest","userCreatesProjectWithTooLongIdTest","User should not be able to create a project with too long ID",""
"passed","Mon Nov 25 20:36:12 GMT 2024","Mon Nov 25 20:36:12 GMT 2024","414","Surefire suite","Surefire test","com.example.teamc.api.ProjectTest","com.example.teamc.api.ProjectTest","userCreatesTwoProjectsWithSameNameTest","User should not be able to create a project with the same name",""
"passed","Mon Nov 25 20:34:48 GMT 2024","Mon Nov 25 20:35:49 GMT 2024","60250","Surefire suite","Surefire test","com.example.teamc.ui.SetupServerTest","com.example.teamc.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Mon Nov 25 20:36:11 GMT 2024","Mon Nov 25 20:36:11 GMT 2024","266","Surefire suite","Surefire test","com.example.teamc.api.ProjectTest","com.example.teamc.api.ProjectTest","userCreatesTwoProjectsWithSameIdTest","User should not be able to create a project with the same ID",""
"passed","Mon Nov 25 20:36:06 GMT 2024","Mon Nov 25 20:36:08 GMT 2024","2587","Surefire suite","Surefire test","com.example.teamc.api.BuildTypeTest","com.example.teamc.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Mon Nov 25 20:36:10 GMT 2024","Mon Nov 25 20:36:10 GMT 2024","234","Surefire suite","Surefire test","com.example.teamc.api.ProjectTest","com.example.teamc.api.ProjectTest","userCreatesProjectTest","User should be able to create a project",""
"passed","Mon Nov 25 20:36:09 GMT 2024","Mon Nov 25 20:36:09 GMT 2024","499","Surefire suite","Surefire test","com.example.teamc.api.BuildTypeTest","com.example.teamc.api.BuildTypeTest","userCreatesTwoBuildTypesWithSameIdTest","User should not be able to create two build types with the same id",""
