"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 25 20:45:07 GMT 2024","Mon Nov 25 20:45:23 GMT 2024","15656","Surefire suite","Surefire test","com.example.teamc.ui.CreateBuildTypeTest","com.example.teamc.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create build type",""
"passed","Mon Nov 25 20:45:23 GMT 2024","Mon Nov 25 20:45:33 GMT 2024","10191","Surefire suite","Surefire test","com.example.teamc.ui.CreateBuildTypeTest","com.example.teamc.ui.CreateBuildTypeTest","userFailsToCreateBuildTypeWithoutBuildTypeName","User should not be able to create build configuration without build type name",""
"passed","Mon Nov 25 20:45:07 GMT 2024","Mon Nov 25 20:45:07 GMT 2024","1","Surefire suite","Surefire test","com.example.teamc.ui.CreateProjectTest","com.example.teamc.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Mon Nov 25 20:43:05 GMT 2024","Mon Nov 25 20:43:55 GMT 2024","50168","Surefire suite","Surefire test","com.example.teamc.ui.SetupServerTest","com.example.teamc.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Mon Nov 25 20:44:08 GMT 2024","Mon Nov 25 20:45:07 GMT 2024","58639","Surefire suite","Surefire test","com.example.teamc.ui.CreateProjectTest","com.example.teamc.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
