"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 25 20:02:51 GMT 2024","Mon Nov 25 20:02:51 GMT 2024","1","Surefire suite","Surefire test","com.example.teamc.ui.CreateProjectTest","com.example.teamc.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Mon Nov 25 20:00:47 GMT 2024","Mon Nov 25 20:01:40 GMT 2024","52799","Surefire suite","Surefire test","com.example.teamc.ui.SetupServerTest","com.example.teamc.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Mon Nov 25 20:03:09 GMT 2024","Mon Nov 25 20:03:36 GMT 2024","26910","Surefire suite","Surefire test","com.example.teamc.ui.CreateBuildTypeTest","com.example.teamc.ui.CreateBuildTypeTest","userFailsToCreateBuildTypeWithoutBuildTypeName","User should not be able to create build configuration without build type name",""
"passed","Mon Nov 25 20:02:51 GMT 2024","Mon Nov 25 20:03:09 GMT 2024","18085","Surefire suite","Surefire test","com.example.teamc.ui.CreateBuildTypeTest","com.example.teamc.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create build type",""
"passed","Mon Nov 25 20:01:54 GMT 2024","Mon Nov 25 20:02:51 GMT 2024","56487","Surefire suite","Surefire test","com.example.teamc.ui.CreateProjectTest","com.example.teamc.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
