"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 25 20:12:51 GMT 2024","Mon Nov 25 20:13:45 GMT 2024","53835","Surefire suite","Surefire test","com.example.teamc.ui.CreateProjectTest","com.example.teamc.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Mon Nov 25 20:13:45 GMT 2024","Mon Nov 25 20:13:45 GMT 2024","1","Surefire suite","Surefire test","com.example.teamc.ui.CreateProjectTest","com.example.teamc.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Mon Nov 25 20:13:45 GMT 2024","Mon Nov 25 20:13:59 GMT 2024","14414","Surefire suite","Surefire test","com.example.teamc.ui.CreateBuildTypeTest","com.example.teamc.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create build type",""
"passed","Mon Nov 25 20:11:44 GMT 2024","Mon Nov 25 20:12:37 GMT 2024","53426","Surefire suite","Surefire test","com.example.teamc.ui.SetupServerTest","com.example.teamc.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Mon Nov 25 20:14:00 GMT 2024","Mon Nov 25 20:14:10 GMT 2024","10104","Surefire suite","Surefire test","com.example.teamc.ui.CreateBuildTypeTest","com.example.teamc.ui.CreateBuildTypeTest","userFailsToCreateBuildTypeWithoutBuildTypeName","User should not be able to create build configuration without build type name",""
